abo,term,e,p,a
actor,chief_operations_officer,0.83,2.45,1.15
actor,child,1.89,-1.14,1.87
actor,child_molester,-4.19,-0.05,-1.07
actor,chiropractor,1.77,1.38,-0.36
actor,choreographer,1.27,1.21,1.97
actor,chum,-0.67,-0.97,-0.95
actor,church_deacon,1.41,1.4,-0.17
actor,citizen,1.35,0.93,0.39
actor,city_councilor,0.66,1.8,0.7
actor,civil_engineer,1.7,1.55,-0.02
actor,civil_servant,1.18,-0.17,-0.54
actor,classmate,0.98,0.15,0.24
actor,cleaning_woman,1.82,0.16,-0.05
actor,clergy,1.08,1.44,-0.73
actor,clerical_worker,1.11,-0.09,-0.47
actor,clerk,0.98,-0.4,-0.09
actor,client,1.36,1.12,0.91
actor,clod,-1.12,-0.51,-0.42
actor,clown,-0.05,-0.98,2.04
actor,co_worker,1.42,0.29,0.5
actor,coach,1.96,2.37,2.19
actor,coal_miner,0.84,0.11,0.54
actor,collaborator,1.52,1.41,0.69
actor,colleague,1.46,0.93,0.22
actor,college_student,1.82,0.44,1.87
actor,comedian,1.94,1.19,2.88
actor,commentator,0.89,0.92,1.86
actor,commissioned_officer,1.25,1.97,0.8
actor,commissioner,0.99,1.88,0.59
actor,communist,-1.23,0.34,0.36
actor,companion,3.09,1.97,0.15
actor,competitor,0.52,1.59,1.4
actor,computer_programmer,1.51,1.46,0.01
actor,computer_security_specialist,1.57,1.45,-0.59
actor,computer_support_specialist,1.33,0.82,-0.02
actor,con_artist,-2.61,1.3,0.95
actor,confidant,2.43,2.32,-0.64
actor,conformist,-0.99,-1.89,-0.92
actor,connoisseur,1.49,0.92,-0.01
actor,conservative,0.44,0.52,-0.23
actor,construction_contractor,1.37,1.38,1.35
actor,construction_foreman,1.13,1.47,1.42
actor,construction_laborer,1.33,0.68,1.59
actor,consultant,1.53,1.61,0.77
actor,consumer,1.22,1.23,0.78
actor,convict,-2.09,-0.98,0.36
actor,cook,2.24,1.69,1.58
actor,cop,0.99,2.71,1.05
actor,copycat,-1.93,-1.28,0.13
actor,coroner,0.64,0.69,-0.95
actor,cosmetologist,1.31,0.3,0.6
actor,counselor,2.54,1.66,-0.78
actor,cousin,1.58,0.38,0.7
actor,coward,-2.39,-2.95,-1.63
actor,craftsman,1.59,1.07,-0.31
actor,crane_operator,0.94,1.23,0.29
actor,creditor,-0.45,1.63,0.63
actor,criminal,-2.55,-0.21,0.5
actor,cripple,-0.08,-1.88,-1.78
actor,critic,-0.42,1.3,1.15
actor,crook,-2.81,-0.33,0.18
actor,crybaby,-2.32,-1.93,2
actor,culprit,-2.13,-0.22,0.61
actor,custodian,1.54,-0.82,-0.93
actor,customer,1.1,1.27,0.67
actor,customer_systems_analyst,0.9,0.33,-0.6
actor,customs_officer,0.45,1.37,0.13
actor,cutthroat,-1.94,1.33,0.97
actor,cynic,-1.43,-0.48,0.13
actor,dairy_farmer,1.62,0.42,-0.62
actor,daredevil,0.51,1.74,3.08
actor,daughter,1.99,1.07,1.02
actor,daughter_in_law,1.25,0.21,0.13
actor,deadbeat,-2.8,-2.57,-1.45
actor,deadbeat_dad,-3.3,-1.13,-0.76
actor,decorator,1.7,0.81,0.84
actor,defendant,0.14,-0.32,-0.15
actor,defense_attorney,0.86,2.05,1.44
actor,degenerate,-1.6,-1.5,-0.48
actor,delinquent,-2.28,-1.31,1.2
actor,dental_assistant,1.4,0,0.05
actor,dental_hygienist,1.68,0.86,0.34
actor,dentist,1.62,1.51,0.08
actor,deputy,1.08,2,0.8
actor,detective,1.65,1.93,-0.8
actor,devil,-3.46,1.62,1.05
actor,dietitian,1.56,0.9,-0.32
actor,dimwit,-1.41,-1.98,-1.3
actor,diner,1.37,-0.33,1.6
actor,diplomat,1.2,2.21,0.8
actor,disabled_person,0.32,-1.07,-1.25
actor,disciplinarian,-0.02,1.85,1.02
actor,dishwasher,1.7,0.11,1.23
actor,disregard,-1.04,0.47,-0.13
actor,district_attorney,0.8,2.38,1.16
actor,divorce,-1.43,0.94,0.57
actor,divorce_lawyer,-0.33,1.96,0.81
actor,divorcee,-0.87,0.05,0.17
actor,do_nothing,-2.01,-2.62,-2.23
actor,doctor,2.69,2.94,0.37
actor,doll,1.37,-1.6,-2.03
actor,dolt,-0.97,-1.41,-1
actor,dope,-1.22,-1.5,-1.14
actor,drag_queen,0.33,0.58,2.01
actor,dropout,-1.87,-2.3,-0.71
actor,drug_addict,-2.54,-2.31,0.02
actor,drug_dealer,-2.24,1.48,-0.54
actor,drunk,-1.67,-1.47,1.7
actor,drunkard,-2.17,-1.78,0.73
actor,dummy,-1.27,-2.23,-1.52
actor,dunce,-1.68,-2.13,-0.98
actor,economist,0.87,0.93,-0.26
actor,editor,1.08,1.7,0.23
actor,education_administrator,1.43,2.09,0.56
actor,educator,2.42,2.52,0.26
actor,electrical_engineer,1.71,1.61,0.28
actor,electrical_linesman,1.01,0.64,0.34
actor,electrician,1.26,0.43,-0.11
actor,elementary_school_student,1.4,-0.85,2.08
actor,elementary_school_teacher,2.66,1.81,0.71
actor,employee,1.04,-0.37,0.2
actor,employer,1.57,2.56,0.7
actor,enemy,-2.77,1.07,0.95
actor,engineer,1.75,1.94,0.3
actor,entrepreneur,1.59,2,1.99
actor,environmentalist,2.1,0.65,0.77
actor,evangelical_Christian,0.67,0.65,0.88
actor,evangelist,0.77,1.09,1.16
actor,evildoer,-3.34,1.45,0.93
actor,ex_boyfriend,-1.14,-0.57,0.39
actor,ex_convict,-1,-0.91,0.31
actor,ex_girlfriend,-1,0.02,0.84
actor,ex_husband,-1.41,-0.51,0.13
actor,ex_wife,-1.52,0.17,0.98
actor,executioner,-1.77,2.77,0.25
actor,executive,0.82,2.73,1.5
actor,expert,1.98,2.8,0.48
actor,extrovert,1.33,1.69,2.66
actor,eyewitness,1.6,1.82,-0.12
actor,failure,-2.22,-0.82,-0.66
actor,fan,1.67,0.76,2.24
actor,fanatic,-0.42,0.57,2.46
actor,farm_laborer,1.47,-0.01,-0.2
actor,farmer,2.13,0.5,-0.48
actor,fast_food_server,0.67,-1.05,0.9
actor,father,2.69,2.93,0.51
actor,father_my,2.22,2.22,0.1
actor,father_in_law,1.37,1.6,0.13
actor,fellow,1.36,0.58,-0.04
actor,felon,-2.67,-0.4,0.77
actor,female,1.86,1.2,0.86
actor,feminist,0.83,0.86,1.55
actor,fiance,2.28,1.83,0.63
actor,fiancee,2.24,1.69,0.65
actor,fiend,-1.37,0.66,0.8
actor,fighter,0.62,2.36,2.17
actor,file_clerk,0.58,-0.67,-1.05
actor,film_star,0.48,1.77,1.76
actor,fire_investigator,1.95,1.66,0.43
actor,firefighter,3.27,2.85,2.29
actor,firstborn,1.9,1.71,0.73
actor,fisherman,1.47,0.41,-0.87
actor,flight_attendant,1.51,0.44,0.31
actor,flirt,0.55,1.01,1.48
actor,flunky,-1.7,-1.79,-0.53
actor,follower,-0.02,-1.21,-1.01
actor,fool,-1.47,-1.6,0.74
actor,foreigner,0.92,-0.7,0.19
actor,foreman,0.64,1.3,0.34
actor,forest_ranger,2.01,0.96,-0.22
actor,foster_child,1.24,-0.4,0.02
actor,foster_daughter,1.5,0.08,-0.33
actor,foster_father,1.89,1.68,0.19
actor,foster_mother,2.24,1.77,0.29
actor,foster_parent,2.16,1.83,0.36
actor,foster_son,0.92,-0.52,-0.11
actor,freak,-0.42,-0.36,0.61
actor,freeloader,-2.27,-1.9,-0.4
actor,friend,3.38,2.58,1.06
actor,fugitive,-1.83,-0.9,0.33
actor,fundamentalist,-0.21,0.61,0.62
actor,fundraiser,2.55,2.18,1.4
actor,funeral_director,0.8,0.57,-1.36
actor,gal,1.9,0.74,0.61
actor,gambler,-1.18,-1.2,1.28
actor,gamer,0.23,-0.2,0.52
actor,gangster,-2.18,1.27,1.95
actor,garbage_collector,1.25,-0.49,0.42
actor,gas_station_attendant,0.74,-1.05,-0.44
actor,gay,0.59,-0.04,0.73
actor,geek,1.49,0.53,-0.95
actor,genius,2.02,2.63,0.05
actor,gentleman,3.05,2.18,-0.25
actor,geologist,1.34,0.49,-1.01
actor,girl,2.1,1.41,0.74
actor,girl_scout,2.12,0.04,0.99
actor,girlfriend,2.08,1.37,1.01
actor,glutton,-1.96,-0.56,-0.37
actor,gold_digger,-2.43,-0.42,0.65
actor,golfer,0.78,0.34,-1.33
actor,goon,-1.31,-0.19,0.89
actor,gossip,-2.09,0.6,1.47
actor,governor,0.57,2.2,0.76
actor,graduate_student,1.91,1.11,0.05
actor,grandchild,2.39,-0.48,2.24
actor,granddaughter,2.01,0.53,1.13
actor,grandfather,2.85,1.82,-1.01
actor,grandmother,2.76,0.89,-1.03
actor,grandparent,2.52,1.78,-1.28
actor,grandson,2.11,0.53,1.45
actor,granny,2.76,0.75,-1.52
actor,grind,0.21,1.41,0.82
actor,grouch,-2.4,-1.3,-0.53
actor,grownup,0.99,1.8,0.06
actor,guest,1.49,0.29,0.27
actor,gunman,-2.33,2.3,1.14
actor,guy,0.71,1.37,0.95
actor,hairdresser,1.56,-0.01,1.01
actor,hairstylist,1.62,0.39,0.71
actor,half_brother,0.87,0.41,0.33
actor,half_sister,0.77,0.3,0.39
actor,half_wit,-1.49,-1.76,-0.72
actor,handicapped_person,0.56,-0.72,-1.03
actor,handyman,1.76,1.04,0.46
actor,has_been,-0.87,-2.02,-0.94
actor,heel,0.15,0.26,0.28
actor,helper,2.79,1.92,0.38
actor,henchman,-1.83,-0.11,0.53
actor,hermit,-0.05,-1.28,-2.29
actor,hero,3.63,3.45,1.54
actor,heterosexual,1.29,1.03,0.31
actor,hick,-0.44,-0.77,0.57
actor,hillbilly,-0.46,-1.09,0.38
actor,hippie,0.77,-0.47,-0.31
actor,hipster,0.05,-0.54,-0.15
actor,homeless_person,-0.57,-2.43,-1.02
actor,homosexual,0.4,0.07,0.63
actor,hooker,-1.2,-1.29,1.01
actor,host,2.08,1.62,1.26
actor,hostage,-1.42,-2.91,-1.33
actor,hostess,1.94,0.39,0.92
actor,hothead,-1.92,-0.42,2.59
actor,hotshot,-0.88,0.89,2.32
actor,housebreaker,-2.82,0.84,0.74
actor,houseguest,1.38,-0.18,0.24
actor,housekeeper,1.4,-0.74,-0.53
actor,housewife,1.79,0.39,-0.14
actor,hunk,0.91,1.69,1.01
actor,husband,1.95,1.64,0.38
actor,hypochondriac,-1.13,-1.69,0.43
actor,hypocrite,-2.6,-1.23,1.11
actor,idiot,-2.11,-1.86,0.41
actor,illegitimate_child,-0.68,-0.63,0.04
actor,imbecile,-2.41,-1.87,-0.08
actor,immigrant,0.63,-0.66,-0.29
actor,immigration_officer,0.14,1.63,0.72
actor,in_law,0.5,0.93,1.13
actor,infant,2.26,-2.35,1.23
actor,informant,0.32,1.49,0
actor,informer,0.47,1.34,0.17
actor,inmate,-1.75,-1.63,0.35
actor,innocent,1.91,-0.72,-0.99
actor,insider,0.62,1.9,-0.28
actor,inspector,0.57,1.54,-0.67
actor,instructor,1.74,2.11,0.56
actor,insurance_agent,0.52,0.68,0.24
actor,insurance_claims_investigator,0.07,1.22,-0.06
actor,intellectual,2.15,2.48,0.11
actor,intern,1.41,-1.39,0.05
actor,interpreter,2.26,1.97,0.8
actor,interrogator,-0.4,2.05,1.09
actor,interviewer,0.57,1.71,0.78
actor,intimate,2.04,1.77,-0.15
actor,introvert,0,-0.89,-2.45
actor,intruder,-3.03,0.91,-0.05
actor,invalid,-0.77,-1.73,-0.9
actor,investigator,1.67,2.01,-0.04
actor,jackass,-2.77,-0.83,2.3
actor,janitor,1.45,-0.87,-0.94
actor,jerk,-2.63,-0.29,1.8
actor,jeweler,0.85,0.65,-0.64
actor,job_seeker,1.56,-0.33,0.59
actor,jock,0.34,1.76,2.05
actor,journalist,0.85,1.55,1.02
actor,judge,1.15,2.53,-0.22
actor,junkie,-2.1,-2.04,-0.04
actor,juror,0.84,2.37,-1.02
actor,jury_foreman,0.47,1.23,0.01
actor,juvenile,-0.31,-1.16,1.23
actor,kid,1.39,-1.27,2.2
actor,kidnapper,-3.77,1.04,-0.05
actor,killjoy,-2.36,0.74,-0.06
actor,klutz,-0.84,-1.27,1.36
actor,know_it_all,-1.46,0.28,1.82
actor,kook,-0.21,-0.11,0.87
actor,labor_union_leader,0.85,2.14,1.92
actor,laborer,1.02,-0.11,0.32
actor,lackey,-0.87,-1.59,-0.67
actor,lady,1.9,1.06,0.03
actor,laid_off_worker,-1.18,-2.02,-1.02
actor,landlady,0.08,1.68,0.59
actor,landlord,0.14,2,0.67
actor,landscape_architect,1.59,1.14,-0.39
actor,landscaper,1.29,0.15,0.28
actor,law_student,1.35,1.55,0.17
actor,lawyer,0.83,2.63,1.75
actor,leader,2.3,3.03,1.23
actor,lecturer,1.29,1.7,0.39
actor,legislator,-0.07,2.18,0.31
actor,lesbian,0.56,0.09,0.45
actor,liar,-2.92,-0.01,0.37
actor,liberal,0.76,0.76,1.14
actor,librarian,1.83,-0.28,-2.06
actor,library_assistant,1.78,-0.06,-2.02
actor,little_brother,1.71,-0.39,1.88
actor,little_sister,1.86,-0.41,1.55
actor,loafer,-1,-1.36,-1.71
actor,loan_shark,-1.94,1.93,1.04
actor,lobby_attendant,1.29,-0.4,-0.13
actor,lobbyist,0.01,1.53,1.67
actor,locksmith,1.16,0.81,-0.27
actor,logger,0.7,1.18,0.83
actor,loner,-0.35,-0.85,-2.02
actor,loser,-1.75,-2.57,-1.2
actor,louse,-1.42,-0.97,0.2
actor,lout,-0.99,-0.34,0.08
actor,lover,2.76,2.49,0.36
actor,lunatic,-2.27,-0.37,1.81
actor,machine_operator_in_a_factory,0.94,0.29,1.1
actor,machine_repairer,1.36,1.02,0.68
actor,madman,-2.34,0.64,2.39
actor,mafioso,-0.96,1.41,0.33
actor,magician,1.13,0.78,1.83
actor,maid,1.47,-1,-0.73
actor,maiden,0.95,-0.67,-0.63
actor,mail_carrier,1.93,0.02,-0.44
actor,malcontent,-1.46,-0.24,0.18
actor,male,0.97,2.01,1.09
actor,malingerer,-1.5,-0.13,-0.71
actor,man,1.1,1.63,0.62
actor,manager,1.15,2.61,1.29
actor,manager_of_branch_store,1.23,1.42,1.25
actor,maniac,-2.04,0.46,2.09
actor,marine,2.47,2.69,1.27
actor,mastermind,0.7,2.93,0.72
actor,maverick,0.84,1.3,1.39
actor,mayor,1.03,2.02,0.75
actor,mechanical_engineer,1.63,1.69,-0.06
actor,medic,2.78,2.62,1.86
actor,menace,-2.51,0.62,1.55
actor,mental_case,-1.51,-0.72,0.57
actor,mental_patient,-0.54,-1.68,-0.1
actor,mentor,3.17,3.06,0.18
actor,merchant,0.7,0.51,1.14
actor,midget,0.48,-0.75,-0.02
actor,migrant_worker,0.79,-0.97,0.1
actor,millionaire,0.57,2.5,1.09
actor,miner,0.94,-0.13,0.59
actor,minister,1.57,1.76,0.26
actor,minor,0.3,-1.55,0.9
actor,minority,1.01,-0.67,0.11
actor,miser,-1.61,-0.7,-1.26
actor,missionary,2.12,1.41,-0.14
actor,mistress,-2.34,-0.35,0.31
actor,mobster,-2.45,2.54,1.61
actor,moron,-2.06,-2.07,-0.03
actor,motel_owner,0.31,0.31,0.11
actor,mother,3.05,2.66,0.76
actor,mother_in_law,0.92,1.07,1.15
actor,mother_in_law_maternal,0.68,1.33,1.2
actor,mourner,-0.15,-1.6,-1.65
actor,mugger,-3.47,1.03,1.31
actor,murderer,-3.79,1.71,-0.06
actor,murderess,-3.18,1.25,0.22
actor,music_director,1.45,1.41,1.27
actor,musician,1.77,1.25,1.47
actor,myself_as_I_really_am,2.06,1.14,0.53
actor,myself_as_I_would_like_to_be,3.17,2.51,0.91
actor,myself_as_others_see_me,2.25,1.22,0.38
actor,myself_as_others_would_like_me_to_be,2.2,1.06,0.68
actor,negotiator,1.9,2.17,0.43
actor,neighbor,1.46,0.49,0.07
actor,nephew,2.12,0.09,1.54
actor,neurotic,-1.17,-0.58,1.52
actor,newcomer,0.74,-0.96,-0.89
actor,newlywed,2.13,1.45,1.6
actor,newscaster,0.84,1.6,2.1
actor,niece,1.95,-0.1,0.67
actor,night_watchman,1.56,1.18,-1.33
actor,ninny,-1.35,-2,-0.78
actor,nitwit,-1.63,-1.82,-0.11
actor,nobody,-0.48,-2.77,-2.29
actor,nonconformist,0.68,0.76,0.69
actor,nonsmoker,2.07,1.27,-0.16
actor,novice,-0.08,-1.59,-0.74
actor,nurse,2.84,1.75,0.53
actor,nursing_assistant,2.32,0.94,0.38
actor,nut,-0.01,-0.74,0.38
actor,nutritionist,2.3,1.2,0.16
actor,oddball,0.24,-0.54,0
actor,offender,-2.37,0.54,1.22
actor,old_geezer,0.28,-0.75,-1.8
actor,old_man,1.4,-0.56,-2.05
actor,online_merchant,0.8,0.86,0.25
actor,onlooker,-0.02,-0.82,-1.23
actor,ophthalmologist,1.6,1.43,-0.34
actor,opponent,-0.19,1.17,1.01
actor,opportunist,1.27,2.07,1.61
actor,optical_engineer,1.56,1.25,-0.45
actor,optimist,2.83,2.38,1.2
actor,organizer,2.07,1.68,0.48
actor,orphan,0,-1.98,-1.14
actor,outlaw,-1.75,0.58,0.83
actor,outsider,0.03,-0.94,-0.73
actor,pagan,-0.49,-0.34,0.1
actor,pal,2.75,1.69,0.8
actor,paranoid,-1.25,-1.38,0.56
actor,parent,2.55,3.06,0.96
actor,parking_attendant,0.29,-0.29,-0.4
actor,parolee,-0.62,-0.71,0.21
actor,part_time_employee,0.93,-0.61,-0.03
actor,partner,2.31,1.53,0.42
actor,passenger,0.64,-0.63,-0.09
actor,passerby,0.29,-0.63,-0.54
actor,pastor,1.89,2.31,0.72
actor,patient,0.57,-1.49,-1.28
actor,patriot,1.69,1.59,1.54
actor,patrolman,1.01,1.24,0.33
actor,pawnbroker,-0.39,0.42,0.95
actor,pedestrian,0.66,-0.56,-0.54
actor,pediatrician,3.01,2.52,0.53
actor,peer,1.8,0.77,0.4
actor,person,0.93,0.95,0.35
actor,pessimist,-1.88,-0.89,-0.77
actor,pest,-2.41,-0.03,1.73
actor,pharmacist,2.09,1.38,-0.42
actor,philanthropist,2.56,1.98,0.28
actor,philosopher,1.47,0.89,-1.03
actor,phony,-2.93,-1.75,0.99
actor,photographer,1.68,1.2,-0.68
actor,physician,2.41,2.35,-0.04
actor,physicist,1.6,1.41,-0.43
actor,pickpocket,-2.95,0.43,-0.26
actor,pimp,-3.03,1.54,1.56
actor,plaintiff,0.17,0.65,0.22
actor,playboy,-1.04,0.46,1.96
actor,plumber,1.51,0.39,-0.11
actor,police_officer,1.05,2.49,1.43
actor,policeman,0.91,2.29,1.3
actor,policewoman,1.29,1.95,1.34
actor,political_scientist,0.81,0.86,0.3
actor,politician,-0.85,2.08,1.44
actor,pornographer,-1.26,0.51,0.92
actor,poser,-1.99,-1.73,0.36
actor,pothead,-0.8,-1.39,-1.88
actor,preacher,1.4,2.05,0.87
