"ABO","term","E","P","A"
"behavior","barricade",-1.87,1.47,0.76
"behavior","barter_with",1.19,1.31,1.46
"behavior","bash",-2.71,0.15,1.53
"behavior","bathe",1.42,0.54,-0.71
"behavior","bawl_out",-1.23,0.31,1.41
"behavior","be_intimate_with",2.49,2.4,-0.28
"behavior","be_sarcastic_toward",-0.71,0.47,1.09
"behavior","beam_at",1.44,1.34,0.11
"behavior","beat",-1.8,1.55,1.84
"behavior","beat_up",-3.16,1.36,2.41
"behavior","beckon_to",0.28,0.68,0.39
"behavior","befriend",2.36,2.17,0.16
"behavior","befuddle",-1.2,0.33,0.76
"behavior","beg",-1.58,-2.02,0.71
"behavior","begrudge",-1.68,0.32,-0.44
"behavior","believe",1.81,1.7,-0.01
"behavior","belittle",-3.37,0.01,-0.12
"behavior","bellow_at",-1.26,0.79,1.96
"behavior","bend",-0.91,1.16,0
"behavior","bequeath_to",0.67,1.11,-0.12
"behavior","berate",-2.27,0.59,1.57
"behavior","beseech",-0.69,0.49,0.47
"behavior","bestow_something_to",2.07,2.11,0.52
"behavior","betray",-3.34,0.53,0.26
"behavior","bewilder",-0.34,0.68,0.65
"behavior","bewitch",-1.17,1.34,0.46
"behavior","bias",-1.78,0.08,0.09
"behavior","bicker_with",-1.85,0.3,2.11
"behavior","bill",-0.31,1.26,-0.18
"behavior","bind",-1.57,1.51,0.37
"behavior","bite",-2.48,0.78,1.47
"behavior","blabber_to",-1.26,-0.39,1.79
"behavior","blackmail",-3.13,1.35,-0.22
"behavior","blame",-2.03,-0.48,0.93
"behavior","bless",2.35,1.93,-0.1
"behavior","blind",-3.24,1.4,0.64
"behavior","block",-1.06,1.35,0.52
"behavior","bluff",-1.03,0.9,-0.11
"behavior","borrow_money_from",-0.72,-0.74,-0.5
"behavior","boss",-1.12,1.57,1.48
"behavior","bother",-2.17,0.32,1.84
"behavior","bow_to",1.13,0.17,-1.31
"behavior","box",-1.08,1.43,1.89
"behavior","brawl_with",-2,0.71,2.64
"behavior","break_up_with",-1.38,1.25,0.6
"behavior","bribe",-1.54,0.87,0.26
"behavior","brief",1.18,1.08,0.44
"behavior","browbeat",-1.96,0.89,0.85
"behavior","brush_off",-1.55,0.8,-0.38
"behavior","brutalize",-3.64,0.85,1.73
"behavior","bug",-1.8,0.09,1.54
"behavior","bully",-3.52,0.65,1.56
"behavior","bury",-0.52,0.99,-1.56
"behavior","butter_up",0.01,1.01,0.28
"behavior","cajole",-0.6,0.6,0.89
"behavior","call",1.49,1.1,0.97
"behavior","calm",2.84,2.08,-1.99
"behavior","captivate",2.27,2.92,1.48
"behavior","capture",-1.1,2.06,1.32
"behavior","care_for",3.39,3,-0.36
"behavior","caress",2.32,1.51,-1.77
"behavior","catch",1.01,1.63,1.12
"behavior","caution",2.04,1.32,0.56
"behavior","cave_in_to",-1.24,-1.34,-0.7
"behavior","censure",-0.9,0.81,-0.22
"behavior","challenge",1.29,2.04,1.5
"behavior","charge",-0.81,1.32,1.2
"behavior","charm",1.91,2,0.49
"behavior","chase",-0.79,0.78,1.94
"behavior","chastise",-1.38,0.76,1.02
"behavior","chat_with",2.18,1.13,1
"behavior","chatter_to",0.6,0.14,1.5
"behavior","cheat",-3.29,0.15,-0.14
"behavior","cheat_on",-3.64,0.4,0.08
"behavior","cheer",3.16,2.61,2.28
"behavior","cheer_up",3.28,2.69,1.03
"behavior","chew_out",-2.08,1.2,2.32
"behavior","chide",-0.93,0.46,0.62
"behavior","choke",-3.45,1.92,1.65
"behavior","choose",2.11,2.44,-0.09
"behavior","cling_to",-0.84,-1.39,-0.13
"behavior","club",-2.85,1.58,1.93
"behavior","coach",2.48,2.18,1.21
"behavior","coax",-0.13,0.99,-0.11
"behavior","coddle",-0.2,0.36,-0.43
"behavior","coerce",-1.04,1.64,0.52
"behavior","collaborate_with",2.3,2.07,0.77
"behavior","combat",-1.32,1.3,1.94
"behavior","comfort",3.38,2.6,-1.39
"behavior","command",-0.43,2.22,1.68
"behavior","commend",2.31,1.96,0.47
"behavior","compensate",2.43,1.45,0
"behavior","compete_with",1.27,1.47,1.78
"behavior","complain_about",-1.69,-0.86,1.03
"behavior","complain_to",-0.93,-0.46,1.33
"behavior","compliment",3.02,2.55,0.59
"behavior","comply_with",1.15,0.14,-0.51
"behavior","compromise_with",2.08,1.97,-0.18
"behavior","con",-2.75,0.91,0.7
"behavior","concede_to",-0.44,-0.66,-0.98
"behavior","concur_with",1.61,1.21,-0.04
"behavior","condemn",-2.62,1.42,0.93
"behavior","confer_with",1.58,1.4,-0.13
"behavior","confess_to",1.69,1.69,0.03
"behavior","confide_in",1.96,1.65,-1.26
"behavior","confine",-2.18,1.05,-0.16
"behavior","confound",-0.32,1,0.4
"behavior","confront",0.39,1.99,1.28
"behavior","confuse",-1.26,0.5,0.07
"behavior","congratulate",2.88,2.13,1.51
"behavior","consider",2.05,1.49,-0.24
"behavior","console",2.72,2.15,-1.12
"behavior","conspire_against",-2.19,1.17,-0.26
"behavior","conspire_with",-0.53,1.24,0.08
"behavior","constrain",-1.91,1.47,0.65
"behavior","consult",1.77,1.16,0.04
"behavior","contact",1.53,1.31,0.74
"behavior","contemplate",0.96,1.1,-1.22
"behavior","contradict",-0.31,0.67,0.71
"behavior","control",-2.01,2.32,0.25
"behavior","converse_with",2.19,1.67,0.78
"behavior","convert",0.13,1.94,-0.13
"behavior","convict",-0.47,1.97,0.66
"behavior","convince",1.11,2.14,0.58
"behavior","cooperate_with",2.85,1.81,-0.32
"behavior","corner",-1.73,1.61,0.95
"behavior","correct",0.49,1.02,0.85
"behavior","corrupt",-3.03,1.8,-0.07
"behavior","counsel",2.62,2.23,-0.94
"behavior","court",1.93,1.62,-0.3
"behavior","cripple",-3.31,1.4,0.93
"behavior","criticize",-1.12,0.73,1.15
"behavior","cross_examine",0.11,1.28,0.76
"behavior","cry_for",0.42,0.7,0.13
"behavior","cuddle",3.17,1.75,-1.8
"behavior","cue",1.19,1.44,0.16
"behavior","cure",3.71,3.63,0.07
"behavior","curry_favor_from",0.28,0.15,0.37
"behavior","curse",-2.51,0.22,1.31
"behavior","curtsey_to",1.52,0.12,-0.9
"behavior","cut",-3.07,1.62,0.6
"behavior","cut_off_relations_with",-0.92,1.45,0
"behavior","cut_someone_down_to_size",-1.3,1.14,1.32
"behavior","cut_the_pay_of",-2.29,1.97,0.14
"behavior","damn",-2.68,0.79,1.24
"behavior","dance_with",2.71,1.48,0.95
"behavior","dare",-0.53,0.86,1.24
"behavior","date",2.24,1.53,0.75
"behavior","dazzle",2.31,2.06,1.57
"behavior","deafen",-2.47,0.99,1.58
"behavior","debase",-1.72,0.34,0.22
"behavior","debate_with",1.15,1.73,1.81
"behavior","debrief",1.39,1.52,0.07
"behavior","deceive",-2.86,0.43,-0.27
"behavior","decorate",1.28,1.11,0.63
"behavior","defame",-1.86,0.8,0.99
"behavior","defeat",0.82,2.08,1.38
"behavior","defend",2.74,2.86,1.64
"behavior","defer_to",-0.16,0.43,-0.44
"behavior","defile",-3.13,0.46,1.09
"behavior","deflate",-2.26,1.08,0.53
"behavior","defy",-1.2,1.24,0.83
"behavior","degrade",-3.52,0.75,0.18
"behavior","delay",-1.93,0.47,-0.12
"behavior","delay_payment_to",-2.72,0.05,-0.97
"behavior","delight",2.9,2.25,0.93
"behavior","delude",-1.71,1.1,-0.48
"behavior","demand",-1.34,1.46,1.57
"behavior","demean",-2.63,0.5,1.2
"behavior","demoralize",-3.18,1,0.66
"behavior","demote",-1.34,1.27,0.43
"behavior","denigrate",-2.07,0.6,0.74
"behavior","denounce",-1.87,1.29,1.08
"behavior","deny",-0.87,1.51,0.1
"behavior","deport",-1.41,2.02,1.05
"behavior","deprave",-2.41,0.64,-0.05
"behavior","deprecate",-2.3,0.18,0.54
"behavior","depress",-3.39,0.71,-0.93
"behavior","deprive",-2.39,1.23,-0.34
"behavior","deride",-1.58,0.05,0.67
"behavior","desert",-2.86,0.48,-0.07
"behavior","desire",1.2,0.8,-0.08
"behavior","desire_sexually",1.58,1.51,1.28
"behavior","despise",-2.11,0.29,0.2
"behavior","destroy",-3.73,2.28,1.84
"behavior","detain",-0.91,1.81,0.47
"behavior","deter",-1.09,1.05,0.24
"behavior","detest",-1.97,0.26,0.48
"behavior","diagnose",1.21,2.07,-0.5
"behavior","dicker_with",-1.17,-0.04,0.91
"behavior","diddle",-0.86,0.46,1.07
"behavior","dine_with",2.38,1.21,0.07
"behavior","direct",1.59,1.94,1.02
"behavior","disable",-2.7,0.75,0.77
"behavior","disagree_with",0.11,1.26,1.09
"behavior","disappoint",-2.75,-0.2,-1.01
"behavior","disapprove_of",-0.81,1.1,-0.03
"behavior","disbelieve",-0.72,0.74,-0.4
"behavior","discharge",-0.46,1.54,0.2
"behavior","discipline",0.92,1.9,1.07
"behavior","discomfort",-2.29,0.59,0.52
"behavior","disconcert",-1.4,0.44,0.01
"behavior","discourage",-2.55,0.05,0.22
"behavior","discredit",-1.79,1.24,0.64
"behavior","discriminate_against",-3.49,-0.05,0.29
"behavior","discuss_something_with",1.63,1.4,0.23
"behavior","disenchant",-1.34,0.42,-0.01
"behavior","disgrace",-2.5,0.66,0.44
"behavior","disillusion",-1.73,1.09,0.37
"behavior","dislike",-1.19,0.47,-0.17
"behavior","dismay",-1.88,0.26,-0.01
"behavior","dismiss",-1.68,1.18,0.35
"behavior","disobey",-1.39,0.88,0.59
"behavior","disparage",-2.27,0.44,0.31
"behavior","displease",-1.82,0.06,0.22
"behavior","dispute",-0.1,1.32,1.54
"behavior","disqualify",-1.13,1.5,0.76
"behavior","disregard",-1.94,0.11,-0.66
"behavior","disrespect",-3.1,0.26,0.95
"behavior","dissuade",0.03,1.54,0.4
"behavior","distract",-0.94,1.05,1.27
"behavior","distress",-2.13,0.85,0.93
"behavior","distrust",-1.45,0.8,-0.6
"behavior","disturb",-2.12,0.86,1.54
"behavior","divorce",-2.02,1.16,0.22
"behavior","dominate",-1.39,2.37,1.78
"behavior","dote_on",0.64,0.39,0.1
"behavior","double_cross",-2.95,1.04,0.67
"behavior","doubt",-0.96,0.43,-0.45
"behavior","draw_near_to",1.55,1.08,-0.82
"behavior","dress",1.29,1.11,-0.25
"behavior","drink_to",1.19,1.05,1.52
"behavior","drink_with",0.9,0.69,1.02
"behavior","drive_out",-1.35,1.33,1.09
"behavior","drone_on_at",-2.06,-0.4,-0.1
"behavior","drug",-3.36,0.99,-0.46
"behavior","dupe",-2.4,0.78,0.39
"behavior","eat_with",2.71,1.25,1
"behavior","educate",3.34,3.25,0.23
"behavior","elbow",-1.66,0.44,1.02
"behavior","elect",1.86,2.75,1.76
"behavior","elude",-0.48,0.3,-0.63
"behavior","embarrass",-2.36,0.95,1.45
"behavior","embezzle_from",-3.13,0.69,-0.36
"behavior","embrace",3.13,2.49,-0.82
"behavior","employ",2.43,2.52,0.21
"behavior","emulate",0.7,0.57,0.12
"behavior","enchant",1.56,2,-0.02
"behavior","encourage",3.44,2.9,1.23
"behavior","endanger",-3.21,1.13,1.22
"behavior","endorse",1.81,1.72,1.02
"behavior","endure",0.38,0.64,-1.06
"behavior","engage",1.79,1.97,1.17
"behavior","enjoy",2.94,1.99,0.54
"behavior","enrage",-2.34,1.63,1.95
"behavior","enrapture",0.18,1.89,0.55
"behavior","enslave",-3.87,2.18,1.38
"behavior","ensnare",-1.66,1.17,0.55
"behavior","entertain",2.21,1.63,1.92
"behavior","enthrall",1.69,2.05,1.35
"behavior","entice",0.16,1.64,0.09
"behavior","entrap",-2.06,1,0.47
"behavior","entreat",0.89,0.71,-0.06
"behavior","entrust",2.34,2.22,-0.63
"behavior","envy",-2.37,-0.87,-0.47
"behavior","escape",1.55,1.8,0.42
"behavior","escort",1.47,1.13,0.18
"behavior","esteem",2.39,1.97,0.69
"behavior","evade",-0.86,-0.25,-0.32
"behavior","evaluate",0.53,1.47,-0.39
"behavior","evict",-1.9,1.95,0.93
"behavior","exalt",0.72,1.08,1.08
"behavior","examine",0.77,1.07,-1.11
"behavior","excite",2.4,2.1,2.47
"behavior","exclude",-2.56,0.45,-0.29
"behavior","excuse",1.32,1.1,-0.44
"behavior","execute",-2.5,2.56,1.22
"behavior","exhaust",-0.76,0.89,1.12
"behavior","exhibit",-0.73,0.47,0.49
"behavior","exile",-1.99,2.08,0.71
"behavior","exonerate",1.11,2.22,0.64
"behavior","exorcise",-0.63,1.44,1.74
"behavior","expel",-1.95,2.49,1.38
"behavior","experience",2.2,1.84,0.03
"behavior","explain_something_to",2.41,2,0.01
"behavior","exploit",-2.99,1.4,0.87
"behavior","expose",-1.37,1.42,1.28
"behavior","exterminate",-3.06,2.68,1.8
"behavior","extol",0.19,0.89,0.84
"behavior","extort",-2.47,1.41,0.54
"behavior","eye",-0.57,0.23,-0.71
"behavior","fail",-2.51,0.04,-0.09
"behavior","fall_in_love_with",3.04,2.54,0.53
"behavior","favor",0.6,1.2,0.27
"behavior","fear",-2.56,-0.96,-0.71
"behavior","feed_something_to",2.95,2.25,0.01
"behavior","fib_to",-1.98,0.35,0.04
"behavior","fight",-2.08,0.9,2.62
"behavior","financially_back",1.89,2.34,-0.11
"behavior","find",1.9,1.85,0.74
"behavior","fine",-1.1,1.43,0.51
"behavior","fire_from_a_job",-1.12,1.96,0.64
"behavior","fix",1.37,2.15,-0.09
"behavior","flatter",1.9,1.59,0.87
"behavior","flee",-0.48,0.12,1.04
"behavior","flirt_with",1.81,1.58,0.6
"behavior","flog",-2.47,1.27,2.03
"behavior","flunk",-1.59,1.8,-0.32
"behavior","fluster",-0.32,1.2,0.81
"behavior","foil",-0.67,1.15,0.52
"behavior","follow",-0.44,-0.02,-1.15
"behavior","fondle",-0.07,0.86,-0.24
"behavior","fool",-1.99,0.37,0.45
"behavior","forbid",-1.05,1.69,0.7
"behavior","force",-2.38,1.44,1.85
"behavior","forget",-1.63,0.36,-1.01
"behavior","forgive",2.96,2.79,-1.06
"behavior","forsake",-2.16,0.63,-0.04
"behavior","foster",2.71,2.23,-0.09
"behavior","frame",-3.42,1.15,-0.29
"behavior","freakout",-1.59,1,1.97
"behavior","free",2.86,2.53,0.58
"behavior","frighten",-1.56,1.41,1.76
"behavior","frightened",-1.29,0.9,1.39
"behavior","frisk",-1.16,1.05,1.09
"behavior","frown_at",-1.72,0.45,-1.1
"behavior","frustrate",-1.87,0.9,1.33
"behavior","gawk_at",-1.37,-0.28,-0.03
"behavior","gaze_at",0.96,0.21,-1.62
"behavior","get_even_with",-1.69,0.27,0.38
"behavior","get_to_know",2.91,2.33,0.17
"behavior","giggle_at",0.11,0.19,0.84
"behavior","giggle_with",3.03,1.66,1.77
"behavior","give_a_raise_to",2.8,2.32,0.49
"behavior","give_in_to",-0.89,-1.45,-0.75
"behavior","give_medical_treatment_to",3.08,2.8,1.57
"behavior","glance_at",0.65,0.07,-0.15
"behavior","glare_at",-1.51,0.61,-0.85
"behavior","glorify",1,1.26,1.37
"behavior","glower_at",-1.61,-0.26,-0.86
"behavior","goad",-1.27,0.28,1.31
"behavior","gossip_with",-1.47,0.33,0.96
"behavior","grab",-1.33,1.14,1.56
"behavior","grade",-0.01,1.96,-0.61
"behavior","grapple_with",-0.83,0.81,1.48
"behavior","grasp",0.29,1.38,0.84
"behavior","gratify",2.65,2.37,0.88
"behavior","greet",2.43,1.64,1.13
"behavior","grieve_for",0.4,0.78,-1.75
"behavior","grin_at",2.32,1.68,-0.11
"behavior","groom",1.54,0.92,-0.28
"behavior","grouse_at",-0.98,-0.22,0.43
"behavior","guard",2.45,2.59,-0.02
"behavior","guide",2.6,2.4,-0.42
"behavior","haggle_with",-0.26,0.84,1.59
"behavior","hail",0.23,0.7,0.91
"behavior","halt",-0.37,1.5,1.16
"behavior","handcuff",-1.11,2.01,1.79
"behavior","harangue",-1.31,0.32,1.25
"behavior","harass",-2.88,0.3,1.6
"behavior","harm",-3.26,1.35,1.3
"behavior","hassle",-2.3,0.3,2.02
"behavior","hate",-2.77,0.8,0.04
"behavior","haunt",-2.6,1.87,-0.88
"behavior","have_a_heart_to_heart_talk_with",2.87,2.73,-1.13
"behavior","have_an_affair_with",-3.26,0.61,0.11
"behavior","have_sex_with",2.09,2.45,1.74
"behavior","haze",-2.82,1.15,1.52
"behavior","heal",3.32,3.22,-0.62
"behavior","heckle",-1.99,0.22,1.86
"behavior","help",3.57,3.23,0.17
"behavior","hide",-0.21,0.79,-1.16
"behavior","hide_from",-0.82,-0.86,-1.37
"behavior","hinder",-2.01,0.35,-0.21
"behavior","hire",2.23,2.39,0.11
"behavior","hit",-2.66,1.3,2.12
"behavior","hold",2.87,2.27,-1.29
"behavior","hold_up",-1.29,1.16,0.67
"behavior","holler_at",-0.6,0.54,2.52
"behavior","honor",3.08,2.74,-0.04
"behavior","hoodwink",-1.79,0.73,0.33
"behavior","hookup_with",0.53,0.45,1.89
"behavior","horrify",-2.3,1.44,1.47
"behavior","horse_around_with",0.68,0.84,2.05
"behavior","hound",-1.57,0.08,1.48
"behavior","hug",2.91,2.16,-0.28
"behavior","humble",1.81,1.89,-0.52
"behavior","humiliate",-3.24,0.82,1.27
"behavior","humor",2.13,1.65,1.08
"behavior","hunt_for",-1.4,1.07,0.07
"behavior","hurry",-0.46,0.75,2.04
"behavior","hurt",-3.17,1.06,0.92
"behavior","hush",-0.74,0.72,0.21
"behavior","hustle",-2.41,0.96,1.34
"behavior","hypnotize",-0.11,1.92,-0.79
"behavior","idealize",0.04,0.77,-0.04
"behavior","identify",1.27,1.1,0.16
"behavior","idolize",-0.18,-0.15,0.05
"behavior","ignore",-1.73,0.53,-1.27
"behavior","imitate",-0.97,-0.32,0.64
"behavior","impede",-1.57,1.06,0.94
"behavior","implicate",-0.79,0.76,0.52
"behavior","implore",0.68,0.62,0.63
"behavior","imprison",-1.29,2.22,0.2
"behavior","incarcerate",-0.57,1.98,0.42
"behavior","incite",-0.54,1.35,0.96
"behavior","incriminate",-1.39,1.28,0.97
"behavior","indoctrinate",-0.13,1.87,0.04
"behavior","indulge",0.89,0.94,0.39
"behavior","influence",0.82,2.54,0.33
"behavior","inform",2.18,2.19,0.3
"behavior","infuriate",-2.22,1.57,1.69
"behavior","inject_with_medicine",1.04,1.88,-0.39
"behavior","injure",-2.96,1.34,1.19
"behavior","inspect",-0.09,0.86,-0.33
"behavior","inspire",3.37,3.3,0.39
"behavior","instruct",2.03,2.32,0.49
"behavior","insult",-2.6,-0.06,1.4
"behavior","interest",2.06,1.94,0.57
"behavior","interfere_with",-1.36,0.76,0.99
"behavior","interrogate",-0.7,1.84,1.05
"behavior","interrupt",-1.99,0.39,1.84
"behavior","interview",1.32,1.76,0.34
"behavior","intimidate",-1.8,1.4,1.11
"behavior","intruder",-2.5,0.83,0.41
"behavior","invite",2.42,1.61,0.38
"behavior","irritate",-2.41,0.39,1.62
"behavior","isolate",-2.74,1.44,-1.48
"behavior","jail",-0.38,2.4,0.96
"behavior","jeer",-2.22,0.11,1.72
"behavior","jest",-0.44,0.28,1.48
"behavior","join",1.72,1.66,0.53
"behavior","joke_with",2.31,1.25,1.88
"behavior","jolt",-1.07,1.07,1.78
"behavior","josh",0.15,0.39,1.12
"behavior","jostle",-1.01,0.69,1.51
"behavior","judge",-1.83,0.71,0.07
"behavior","kick",-2.49,0.57,1.88
"behavior","kid",0.22,0.36,1.25
"behavior","kill",-4.26,1.95,-0.11
"behavior","kiss",2.48,2.33,0.1
"behavior","knife",-3.67,1.62,2.08
"behavior","knock_out",-2.26,2.32,2.37
"behavior","kowtow_to",-1.05,-1.14,0.48
"behavior","laud",1.19,1.1,1.06
"behavior","laugh_at",-0.56,0.85,1.99
"behavior","laugh_with",3.12,2.36,2.43
"behavior","lay_off_from_a_job",-1.93,1.85,0.28
"behavior","lead",2.02,2.59,0.73
"behavior","leave",-1.84,1.45,-0.2
"behavior","lecture",0.07,1.24,0.87
"behavior","leer_at",-1.29,-0.09,-0.61
"behavior","lend_money_to",1.65,1.59,-0.18
"behavior","liberate",2.85,2.77,1.15
"behavior","lie_to",-2.52,0.73,-0.19
"behavior","lift",1.78,2.42,1.17
"behavior","like",2.61,1.84,0.39
"behavior","listen_to",2.92,2.14,-1.61
"behavior","loathe",-2.31,0.05,-0.06
"behavior","look_at",0.84,0.74,-0.39
"behavior","love",3.36,3.11,0.65
"behavior","lure",-1.06,1.51,-0.83
"behavior","lust_for",0.04,1.15,0.63
"behavior","make_fun_of",-2.89,0.35,1.67
"behavior","make_love_to",3.14,2.79,1.08
"behavior","malign",-1.87,0.67,0.52
"behavior","manipulate",-2.57,1.65,0.72
"behavior","marry",2.52,2.28,0.21
"behavior","massage",2.27,0.92,-1.66
"behavior","medicate",1.37,2.07,-0.43
"behavior","menace",-2.51,1,1.06
"behavior","mimic",-0.94,-0.5,1.01
"behavior","misinform",-2.36,0.59,0.42
"behavior","misjudge",-2.16,0.14,0.52
"behavior","mislead",-2.38,0.64,0.24
"behavior","miss",-0.05,0.94,-1.38
"behavior","misunderstand",-1.56,-0.51,-0.22
"behavior","mock",-2.48,-0.01,1.6
"behavior","molest",-4.01,1.2,0.46
"behavior","monitor",-0.03,1.34,-1.17
"behavior","mortify",-2.64,1.52,1.3
"behavior","mother",2.79,2.84,0.18
"behavior","mouth_off_to",-1.98,0.54,2.19
"behavior","mug",-3.32,0.89,1.52
"behavior","mumble_to",-0.92,-1.7,-2.07
"behavior","murder",-3.9,2.12,1.08
"behavior","murmur_to",-0.25,-0.81,-2.17
"behavior","nag",-1.92,-0.29,2.03
"behavior","need",0.6,0.07,-0.11
"behavior","needle",-1.7,-0.03,0.32
"behavior","neglect",-3.13,0.69,-1.33
"behavior","negotiate_with",2.15,2.31,1.11
"behavior","notice",2.09,1.49,-0.13
"behavior","nudge",-0.04,0.1,0.1
"behavior","nuzzle",1.34,0.29,-1.12
"behavior","obey",0.91,-0.2,-0.9
"behavior","observe",0.74,0.64,-1.74
"behavior","obstruct",-1.66,1.24,0.92
"behavior","offend",-2.34,0.76,1.11
"behavior","ogle",-0.81,-0.13,-0.14
"behavior","oppose",-0.13,1.56,0.99
"behavior","oppress",-3.23,1.91,0.29
"behavior","order",-0.82,1.83,1.46
"behavior","ostracize",-2.73,1.09,0.53
"behavior","outdo",0.61,1.66,1.19
"behavior","outwit",1.08,1.92,1.05
"behavior","overcharge",-2.77,0.62,0.27
"behavior","overlook",-1.95,0.18,-0.65
"behavior","overwhelm",-1.02,1.59,1.81
"behavior","overwork",-2.1,1.21,1.16
"behavior","pacify",0.89,1.17,-0.84
"behavior","pamper",1.18,1.25,-0.1
"behavior","parody",-0.01,0.8,1.46
"behavior","patronize",-1.77,0.31,0.91
"behavior","pay",1.95,1.84,0.09
"behavior","pay_for",1.93,1.77,-0.15
"behavior","peek_at",-1.32,-0.47,-0.88
"behavior","peep_at",-2.19,-1.09,-1.5
"behavior","penalize",-0.49,1.79,0.41
"behavior","persecute",-1.68,1.57,0.88
"behavior","persuade",0.82,1.96,0.63
"behavior","pester",-2.15,0.21,1.72
"behavior","pet",0.28,0.28,-0.59
"behavior","photograph",1.15,1.03,-0.08
"behavior","pity",-0.44,-0.08,-1.1
"behavior","placate",0.65,0.86,-0.93
"behavior","play_with",2.54,1.64,1.68
"behavior","please",2.39,1.68,0.16
"behavior","plot_against",-2.49,0.7,-0.82
"behavior","poison",-3.6,1.48,-0.75
"behavior","pooh_pooh",-1.37,-0.21,0.47
"behavior","praise",2.59,2.04,0.84
"behavior","pray_for",2.93,2.16,-1.81
"behavior","pray_with",2.04,1.9,-1.32
"behavior","preach_to",0.33,1.09,1.58
"behavior","prod",-0.79,0.12,0.52
"behavior","prompt",0.75,0.83,0.22
"behavior","propose_marriage_to",2.82,2.96,0.94
"behavior","prosecute",-0.43,2.66,1.21
"behavior","proselytize",-0.94,0.16,0.16
"behavior","protect",3.23,2.95,0.64
"behavior","provoke",-1.84,1.12,1.48
"behavior","psychoanalyze",0.1,1.27,-0.6
"behavior","pull_away_from",-0.81,0.93,-0.6
"behavior","punch",-2.55,1.34,2.39
"behavior","punish",-0.95,1.39,0.85
"behavior","pursue",1.21,1.36,0.96
"behavior","push",-1.83,1.04,1.5
"behavior","quarrel_with",-1.61,0.26,1.76
"behavior","query",0.43,0.55,0.17
"behavior","question",0.56,1.25,0.52
