"ABO","term","E","P","A"
"Actor","cement_worker",0.79,0.27,0.92
"Actor","censor",-0.97,1.73,-0.21
"Actor","chain_smoker",-2.29,-1.66,-0.46
"Actor","chairman",0.64,2.43,0.7
"Actor","chairman_of_the_board",1.05,3.04,0.96
"Actor","chairperson",1.13,2.32,0.79
"Actor","chairwoman",1.4,2.33,0.91
"Actor","chambermaid",0.5,-1.52,-0.84
"Actor","champion",2.36,2.69,1.67
"Actor","chap",1.25,0.18,0.48
"Actor","chaperone",1.02,1.39,-0.07
"Actor","chaplain",2.12,1.58,-0.52
"Actor","chatterbox",-0.49,0.14,2.92
"Actor","chauffeur",1.51,-0.51,-0.73
"Actor","cheat",-3.01,-0.53,-0.29
"Actor","cheerleader",1.05,0.24,2.93
"Actor","chef",1.69,1.35,1.68
"Actor","chemical_engineer",1.57,1.73,-0.41
"Actor","chemist",1.82,1.88,-0.68
"Actor","chief_operations_officer",0.83,2.45,1.15
"Actor","child",1.89,-1.14,1.87
"Actor","child_molester",-4.19,-0.05,-1.07
"Actor","chiropractor",1.77,1.38,-0.36
"Actor","choreographer",1.27,1.21,1.97
"Actor","chum",-0.67,-0.97,-0.95
"Actor","church_deacon",1.41,1.4,-0.17
"Actor","citizen",1.35,0.93,0.39
"Actor","city_councilor",0.66,1.8,0.7
"Actor","civil_engineer",1.7,1.55,-0.02
"Actor","civil_servant",1.18,-0.17,-0.54
"Actor","classmate",0.98,0.15,0.24
"Actor","cleaning_woman",1.82,0.16,-0.05
"Actor","clergy",1.08,1.44,-0.73
"Actor","clerical_worker",1.11,-0.09,-0.47
"Actor","clerk",0.98,-0.4,-0.09
"Actor","client",1.36,1.12,0.91
"Actor","clod",-1.12,-0.51,-0.42
"Actor","clown",-0.05,-0.98,2.04
"Actor","co_worker",1.42,0.29,0.5
"Actor","coach",1.96,2.37,2.19
"Actor","coal_miner",0.84,0.11,0.54
"Actor","collaborator",1.52,1.41,0.69
"Actor","colleague",1.46,0.93,0.22
"Actor","college_student",1.82,0.44,1.87
"Actor","comedian",1.94,1.19,2.88
"Actor","commentator",0.89,0.92,1.86
"Actor","commissioned_officer",1.25,1.97,0.8
"Actor","commissioner",0.99,1.88,0.59
"Actor","communist",-1.23,0.34,0.36
"Actor","companion",3.09,1.97,0.15
"Actor","competitor",0.52,1.59,1.4
"Actor","computer_programmer",1.51,1.46,0.01
"Actor","computer_security_specialist",1.57,1.45,-0.59
"Actor","computer_support_specialist",1.33,0.82,-0.02
"Actor","con_artist",-2.61,1.3,0.95
"Actor","confidant",2.43,2.32,-0.64
"Actor","conformist",-0.99,-1.89,-0.92
"Actor","connoisseur",1.49,0.92,-0.01
"Actor","conservative",0.44,0.52,-0.23
"Actor","construction_contractor",1.37,1.38,1.35
"Actor","construction_foreman",1.13,1.47,1.42
"Actor","construction_laborer",1.33,0.68,1.59
"Actor","consultant",1.53,1.61,0.77
"Actor","consumer",1.22,1.23,0.78
"Actor","convict",-2.09,-0.98,0.36
"Actor","cook",2.24,1.69,1.58
"Actor","cop",0.99,2.71,1.05
"Actor","copycat",-1.93,-1.28,0.13
"Actor","coroner",0.64,0.69,-0.95
"Actor","cosmetologist",1.31,0.3,0.6
"Actor","counselor",2.54,1.66,-0.78
"Actor","cousin",1.58,0.38,0.7
"Actor","coward",-2.39,-2.95,-1.63
"Actor","craftsman",1.59,1.07,-0.31
"Actor","crane_operator",0.94,1.23,0.29
"Actor","creditor",-0.45,1.63,0.63
"Actor","criminal",-2.55,-0.21,0.5
"Actor","cripple",-0.08,-1.88,-1.78
"Actor","critic",-0.42,1.3,1.15
"Actor","crook",-2.81,-0.33,0.18
"Actor","crybaby",-2.32,-1.93,2
"Actor","culprit",-2.13,-0.22,0.61
"Actor","custodian",1.54,-0.82,-0.93
"Actor","customer",1.1,1.27,0.67
"Actor","customer_systems_analyst",0.9,0.33,-0.6
"Actor","customs_officer",0.45,1.37,0.13
"Actor","cutthroat",-1.94,1.33,0.97
"Actor","cynic",-1.43,-0.48,0.13
"Actor","dairy_farmer",1.62,0.42,-0.62
"Actor","daredevil",0.51,1.74,3.08
"Actor","daughter",1.99,1.07,1.02
"Actor","daughter_in_law",1.25,0.21,0.13
"Actor","deadbeat",-2.8,-2.57,-1.45
"Actor","deadbeat_dad",-3.3,-1.13,-0.76
"Actor","decorator",1.7,0.81,0.84
"Actor","defendant",0.14,-0.32,-0.15
"Actor","defense_attorney",0.86,2.05,1.44
"Actor","degenerate",-1.6,-1.5,-0.48
"Actor","delinquent",-2.28,-1.31,1.2
"Actor","dental_assistant",1.4,0,0.05
"Actor","dental_hygienist",1.68,0.86,0.34
"Actor","dentist",1.62,1.51,0.08
"Actor","deputy",1.08,2,0.8
"Actor","detective",1.65,1.93,-0.8
"Actor","devil",-3.46,1.62,1.05
"Actor","dietitian",1.56,0.9,-0.32
"Actor","dimwit",-1.41,-1.98,-1.3
"Actor","diner",1.37,-0.33,1.6
"Actor","diplomat",1.2,2.21,0.8
"Actor","disabled_person",0.32,-1.07,-1.25
"Actor","disciplinarian",-0.02,1.85,1.02
"Actor","dishwasher",1.7,0.11,1.23
"Actor","disregard",-1.04,0.47,-0.13
"Actor","district_attorney",0.8,2.38,1.16
"Actor","divorce",-1.43,0.94,0.57
"Actor","divorce_lawyer",-0.33,1.96,0.81
"Actor","divorcee",-0.87,0.05,0.17
"Actor","do_nothing",-2.01,-2.62,-2.23
"Actor","doctor",2.69,2.94,0.37
"Actor","doll",1.37,-1.6,-2.03
"Actor","dolt",-0.97,-1.41,-1
"Actor","dope",-1.22,-1.5,-1.14
"Actor","drag_queen",0.33,0.58,2.01
"Actor","dropout",-1.87,-2.3,-0.71
"Actor","drug_addict",-2.54,-2.31,0.02
"Actor","drug_dealer",-2.24,1.48,-0.54
"Actor","drunk",-1.67,-1.47,1.7
"Actor","drunkard",-2.17,-1.78,0.73
"Actor","dummy",-1.27,-2.23,-1.52
"Actor","dunce",-1.68,-2.13,-0.98
"Actor","economist",0.87,0.93,-0.26
"Actor","editor",1.08,1.7,0.23
"Actor","education_administrator",1.43,2.09,0.56
"Actor","educator",2.42,2.52,0.26
"Actor","electrical_engineer",1.71,1.61,0.28
"Actor","electrical_linesman",1.01,0.64,0.34
"Actor","electrician",1.26,0.43,-0.11
"Actor","elementary_school_student",1.4,-0.85,2.08
"Actor","elementary_school_teacher",2.66,1.81,0.71
"Actor","employee",1.04,-0.37,0.2
"Actor","employer",1.57,2.56,0.7
"Actor","enemy",-2.77,1.07,0.95
"Actor","engineer",1.75,1.94,0.3
"Actor","entrepreneur",1.59,2,1.99
"Actor","environmentalist",2.1,0.65,0.77
"Actor","evangelical_Christian",0.67,0.65,0.88
"Actor","evangelist",0.77,1.09,1.16
"Actor","evildoer",-3.34,1.45,0.93
"Actor","ex_boyfriend",-1.14,-0.57,0.39
"Actor","ex_convict",-1,-0.91,0.31
"Actor","ex_girlfriend",-1,0.02,0.84
"Actor","ex_husband",-1.41,-0.51,0.13
"Actor","ex_wife",-1.52,0.17,0.98
"Actor","executioner",-1.77,2.77,0.25
"Actor","executive",0.82,2.73,1.5
"Actor","expert",1.98,2.8,0.48
"Actor","extrovert",1.33,1.69,2.66
"Actor","eyewitness",1.6,1.82,-0.12
"Actor","failure",-2.22,-0.82,-0.66
"Actor","fan",1.67,0.76,2.24
"Actor","fanatic",-0.42,0.57,2.46
"Actor","farm_laborer",1.47,-0.01,-0.2
"Actor","farmer",2.13,0.5,-0.48
"Actor","fast_food_server",0.67,-1.05,0.9
"Actor","father",2.69,2.93,0.51
"Actor","father_my",2.22,2.22,0.1
"Actor","father_in_law",1.37,1.6,0.13
"Actor","fellow",1.36,0.58,-0.04
"Actor","felon",-2.67,-0.4,0.77
"Actor","female",1.86,1.2,0.86
"Actor","feminist",0.83,0.86,1.55
"Actor","fiance",2.28,1.83,0.63
"Actor","fiancee",2.24,1.69,0.65
"Actor","fiend",-1.37,0.66,0.8
"Actor","fighter",0.62,2.36,2.17
"Actor","file_clerk",0.58,-0.67,-1.05
"Actor","film_star",0.48,1.77,1.76
"Actor","fire_investigator",1.95,1.66,0.43
"Actor","firefighter",3.27,2.85,2.29
"Actor","firstborn",1.9,1.71,0.73
"Actor","fisherman",1.47,0.41,-0.87
"Actor","flight_attendant",1.51,0.44,0.31
"Actor","flirt",0.55,1.01,1.48
"Actor","flunky",-1.7,-1.79,-0.53
"Actor","follower",-0.02,-1.21,-1.01
"Actor","fool",-1.47,-1.6,0.74
"Actor","foreigner",0.92,-0.7,0.19
"Actor","foreman",0.64,1.3,0.34
"Actor","forest_ranger",2.01,0.96,-0.22
"Actor","foster_child",1.24,-0.4,0.02
"Actor","foster_daughter",1.5,0.08,-0.33
"Actor","foster_father",1.89,1.68,0.19
"Actor","foster_mother",2.24,1.77,0.29
"Actor","foster_parent",2.16,1.83,0.36
"Actor","foster_son",0.92,-0.52,-0.11
"Actor","freak",-0.42,-0.36,0.61
"Actor","freeloader",-2.27,-1.9,-0.4
"Actor","friend",3.38,2.58,1.06
"Actor","fugitive",-1.83,-0.9,0.33
"Actor","fundamentalist",-0.21,0.61,0.62
"Actor","fundraiser",2.55,2.18,1.4
"Actor","funeral_director",0.8,0.57,-1.36
"Actor","gal",1.9,0.74,0.61
"Actor","gambler",-1.18,-1.2,1.28
"Actor","gamer",0.23,-0.2,0.52
"Actor","gangster",-2.18,1.27,1.95
"Actor","garbage_collector",1.25,-0.49,0.42
"Actor","gas_station_attendant",0.74,-1.05,-0.44
"Actor","gay",0.59,-0.04,0.73
"Actor","geek",1.49,0.53,-0.95
"Actor","genius",2.02,2.63,0.05
"Actor","gentleman",3.05,2.18,-0.25
"Actor","geologist",1.34,0.49,-1.01
"Actor","girl",2.1,1.41,0.74
"Actor","girl_scout",2.12,0.04,0.99
"Actor","girlfriend",2.08,1.37,1.01
"Actor","glutton",-1.96,-0.56,-0.37
"Actor","gold_digger",-2.43,-0.42,0.65
"Actor","golfer",0.78,0.34,-1.33
"Actor","goon",-1.31,-0.19,0.89
"Actor","gossip",-2.09,0.6,1.47
"Actor","governor",0.57,2.2,0.76
"Actor","graduate_student",1.91,1.11,0.05
"Actor","grandchild",2.39,-0.48,2.24
"Actor","granddaughter",2.01,0.53,1.13
"Actor","grandfather",2.85,1.82,-1.01
"Actor","grandmother",2.76,0.89,-1.03
"Actor","grandparent",2.52,1.78,-1.28
"Actor","grandson",2.11,0.53,1.45
"Actor","granny",2.76,0.75,-1.52
"Actor","grind",0.21,1.41,0.82
"Actor","grouch",-2.4,-1.3,-0.53
"Actor","grownup",0.99,1.8,0.06
"Actor","guest",1.49,0.29,0.27
"Actor","gunman",-2.33,2.3,1.14
"Actor","guy",0.71,1.37,0.95
"Actor","hairdresser",1.56,-0.01,1.01
"Actor","hairstylist",1.62,0.39,0.71
"Actor","half_brother",0.87,0.41,0.33
"Actor","half_sister",0.77,0.3,0.39
"Actor","half_wit",-1.49,-1.76,-0.72
"Actor","handicapped_person",0.56,-0.72,-1.03
"Actor","handyman",1.76,1.04,0.46
"Actor","has_been",-0.87,-2.02,-0.94
"Actor","heel",0.15,0.26,0.28
"Actor","helper",2.79,1.92,0.38
"Actor","henchman",-1.83,-0.11,0.53
"Actor","hermit",-0.05,-1.28,-2.29
"Actor","hero",3.63,3.45,1.54
"Actor","heterosexual",1.29,1.03,0.31
"Actor","hick",-0.44,-0.77,0.57
"Actor","hillbilly",-0.46,-1.09,0.38
"Actor","hippie",0.77,-0.47,-0.31
"Actor","hipster",0.05,-0.54,-0.15
"Actor","homeless_person",-0.57,-2.43,-1.02
"Actor","homosexual",0.4,0.07,0.63
"Actor","hooker",-1.2,-1.29,1.01
"Actor","host",2.08,1.62,1.26
"Actor","hostage",-1.42,-2.91,-1.33
"Actor","hostess",1.94,0.39,0.92
"Actor","hothead",-1.92,-0.42,2.59
"Actor","hotshot",-0.88,0.89,2.32
"Actor","housebreaker",-2.82,0.84,0.74
"Actor","houseguest",1.38,-0.18,0.24
"Actor","housekeeper",1.4,-0.74,-0.53
"Actor","housewife",1.79,0.39,-0.14
"Actor","hunk",0.91,1.69,1.01
"Actor","husband",1.95,1.64,0.38
"Actor","hypochondriac",-1.13,-1.69,0.43
"Actor","hypocrite",-2.6,-1.23,1.11
"Actor","idiot",-2.11,-1.86,0.41
"Actor","illegitimate_child",-0.68,-0.63,0.04
"Actor","imbecile",-2.41,-1.87,-0.08
"Actor","immigrant",0.63,-0.66,-0.29
"Actor","immigration_officer",0.14,1.63,0.72
"Actor","in_law",0.5,0.93,1.13
"Actor","infant",2.26,-2.35,1.23
"Actor","informant",0.32,1.49,0
"Actor","informer",0.47,1.34,0.17
"Actor","inmate",-1.75,-1.63,0.35
"Actor","innocent",1.91,-0.72,-0.99
"Actor","insider",0.62,1.9,-0.28
"Actor","inspector",0.57,1.54,-0.67
"Actor","instructor",1.74,2.11,0.56
"Actor","insurance_agent",0.52,0.68,0.24
"Actor","insurance_claims_investigator",0.07,1.22,-0.06
"Actor","intellectual",2.15,2.48,0.11
"Actor","intern",1.41,-1.39,0.05
"Actor","interpreter",2.26,1.97,0.8
"Actor","interrogator",-0.4,2.05,1.09
"Actor","interviewer",0.57,1.71,0.78
"Actor","intimate",2.04,1.77,-0.15
"Actor","introvert",0,-0.89,-2.45
"Actor","intruder",-3.03,0.91,-0.05
"Actor","invalid",-0.77,-1.73,-0.9
"Actor","investigator",1.67,2.01,-0.04
"Actor","jackass",-2.77,-0.83,2.3
"Actor","janitor",1.45,-0.87,-0.94
"Actor","jerk",-2.63,-0.29,1.8
"Actor","jeweler",0.85,0.65,-0.64
"Actor","job_seeker",1.56,-0.33,0.59
"Actor","jock",0.34,1.76,2.05
"Actor","journalist",0.85,1.55,1.02
"Actor","judge",1.15,2.53,-0.22
"Actor","junkie",-2.1,-2.04,-0.04
"Actor","juror",0.84,2.37,-1.02
"Actor","jury_foreman",0.47,1.23,0.01
"Actor","juvenile",-0.31,-1.16,1.23
"Actor","kid",1.39,-1.27,2.2
"Actor","kidnapper",-3.77,1.04,-0.05
"Actor","killjoy",-2.36,0.74,-0.06
"Actor","klutz",-0.84,-1.27,1.36
"Actor","know_it_all",-1.46,0.28,1.82
"Actor","kook",-0.21,-0.11,0.87
"Actor","labor_union_leader",0.85,2.14,1.92
"Actor","laborer",1.02,-0.11,0.32
"Actor","lackey",-0.87,-1.59,-0.67
"Actor","lady",1.9,1.06,0.03
"Actor","laid_off_worker",-1.18,-2.02,-1.02
"Actor","landlady",0.08,1.68,0.59
"Actor","landlord",0.14,2,0.67
"Actor","landscape_architect",1.59,1.14,-0.39
"Actor","landscaper",1.29,0.15,0.28
"Actor","law_student",1.35,1.55,0.17
"Actor","lawyer",0.83,2.63,1.75
"Actor","leader",2.3,3.03,1.23
"Actor","lecturer",1.29,1.7,0.39
"Actor","legislator",-0.07,2.18,0.31
"Actor","lesbian",0.56,0.09,0.45
"Actor","liar",-2.92,-0.01,0.37
"Actor","liberal",0.76,0.76,1.14
"Actor","librarian",1.83,-0.28,-2.06
"Actor","library_assistant",1.78,-0.06,-2.02
"Actor","little_brother",1.71,-0.39,1.88
"Actor","little_sister",1.86,-0.41,1.55
"Actor","loafer",-1,-1.36,-1.71
"Actor","loan_shark",-1.94,1.93,1.04
"Actor","lobby_attendant",1.29,-0.4,-0.13
"Actor","lobbyist",0.01,1.53,1.67
"Actor","locksmith",1.16,0.81,-0.27
"Actor","logger",0.7,1.18,0.83
"Actor","loner",-0.35,-0.85,-2.02
"Actor","loser",-1.75,-2.57,-1.2
"Actor","louse",-1.42,-0.97,0.2
"Actor","lout",-0.99,-0.34,0.08
"Actor","lover",2.76,2.49,0.36
"Actor","lunatic",-2.27,-0.37,1.81
"Actor","machine_operator_in_a_factory",0.94,0.29,1.1
"Actor","machine_repairer",1.36,1.02,0.68
"Actor","madman",-2.34,0.64,2.39
"Actor","mafioso",-0.96,1.41,0.33
"Actor","magician",1.13,0.78,1.83
"Actor","maid",1.47,-1,-0.73
"Actor","maiden",0.95,-0.67,-0.63
"Actor","mail_carrier",1.93,0.02,-0.44
"Actor","malcontent",-1.46,-0.24,0.18
"Actor","male",0.97,2.01,1.09
"Actor","malingerer",-1.5,-0.13,-0.71
"Actor","man",1.1,1.63,0.62
"Actor","manager",1.15,2.61,1.29
"Actor","manager_of_branch_store",1.23,1.42,1.25
"Actor","maniac",-2.04,0.46,2.09
"Actor","marine",2.47,2.69,1.27
"Actor","mastermind",0.7,2.93,0.72
"Actor","maverick",0.84,1.3,1.39
"Actor","mayor",1.03,2.02,0.75
"Actor","mechanical_engineer",1.63,1.69,-0.06
"Actor","medic",2.78,2.62,1.86
"Actor","menace",-2.51,0.62,1.55
"Actor","mental_case",-1.51,-0.72,0.57
"Actor","mental_patient",-0.54,-1.68,-0.1
"Actor","mentor",3.17,3.06,0.18
"Actor","merchant",0.7,0.51,1.14
"Actor","midget",0.48,-0.75,-0.02
"Actor","migrant_worker",0.79,-0.97,0.1
"Actor","millionaire",0.57,2.5,1.09
"Actor","miner",0.94,-0.13,0.59
"Actor","minister",1.57,1.76,0.26
"Actor","minor",0.3,-1.55,0.9
"Actor","minority",1.01,-0.67,0.11
"Actor","miser",-1.61,-0.7,-1.26
"Actor","missionary",2.12,1.41,-0.14
"Actor","mistress",-2.34,-0.35,0.31
"Actor","mobster",-2.45,2.54,1.61
"Actor","moron",-2.06,-2.07,-0.03
"Actor","motel_owner",0.31,0.31,0.11
"Actor","mother",3.05,2.66,0.76
"Actor","mother_in_law",0.92,1.07,1.15
"Actor","mother_in_law_maternal",0.68,1.33,1.2
"Actor","mourner",-0.15,-1.6,-1.65
"Actor","mugger",-3.47,1.03,1.31
"Actor","murderer",-3.79,1.71,-0.06
"Actor","murderess",-3.18,1.25,0.22
"Actor","music_director",1.45,1.41,1.27
"Actor","musician",1.77,1.25,1.47
"Actor","myself_as_I_really_am",2.06,1.14,0.53
"Actor","myself_as_I_would_like_to_be",3.17,2.51,0.91
"Actor","myself_as_others_see_me",2.25,1.22,0.38
"Actor","myself_as_others_would_like_me_to_be",2.2,1.06,0.68
"Actor","negotiator",1.9,2.17,0.43
"Actor","neighbor",1.46,0.49,0.07
"Actor","nephew",2.12,0.09,1.54
"Actor","neurotic",-1.17,-0.58,1.52
"Actor","newcomer",0.74,-0.96,-0.89
"Actor","newlywed",2.13,1.45,1.6
"Actor","newscaster",0.84,1.6,2.1
"Actor","niece",1.95,-0.1,0.67
"Actor","night_watchman",1.56,1.18,-1.33
"Actor","ninny",-1.35,-2,-0.78
"Actor","nitwit",-1.63,-1.82,-0.11
"Actor","nobody",-0.48,-2.77,-2.29
"Actor","nonconformist",0.68,0.76,0.69
"Actor","nonsmoker",2.07,1.27,-0.16
"Actor","novice",-0.08,-1.59,-0.74
"Actor","nurse",2.84,1.75,0.53
